id;oblast;raion;hromada;settlement
531803834;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
531803858;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
531803859;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
531803881;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
531803882;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
531803891;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
531803901;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
531803903;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
531803915;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
531803918;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
531803929;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
531803936;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
531803946;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
531803954;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
531803961;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
531803970;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
531803977;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
531803982;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
531804000;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
531804005;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
531804019;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
531804021;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
531804025;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
531804041;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
531804043;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
531804045;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
531804065;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
531804068;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
531804070;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
531804079;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
531804082;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
531804085;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
531804091;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
531804092;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
531804098;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
531804106;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
531804116;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
531804119;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
531804131;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
531804135;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
531804137;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
531804151;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
531804168;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
531804182;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
531804186;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
531804199;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
531804200;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
531804221;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
531804222;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
531804241;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
531804247;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
531804260;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
531804269;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
531804275;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
531804292;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
531804315;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
531804333;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
531804357;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
531804376;Kharkivska;Kupianskyi;Shevchenkivska;Bezmiatezhne_Безмятежне
